Date,Close,DayNumber,Month_Number,Year,FFT_Mag_Close_900,FFT_Angl_Close_900
2005-09-14,65.08999633789061,2,900,2005,63.99050583021721,-0.000333233938261834
2005-09-15,64.75,3,900,2005,64.22609317650024,-0.0002959792185992993
2005-09-16,63.0,4,900,2005,64.89628877843444,2.050629214558448e-05
2005-09-19,67.38999938964844,0,900,2005,65.8712078077803,0.0003098351797996675
2005-09-20,66.23000335693361,1,900,2005,66.65994760704912,0.0003020446459786871
2005-09-21,66.80000305175781,2,900,2005,66.77385315621119,1.14818039462212e-05
2005-09-22,66.5,3,900,2005,66.1548869293305,-0.00029216182521237303
2005-09-23,64.19000244140625,4,900,2005,65.2892094550877,-0.0003230935586401706
2005-09-26,65.81999969482422,0,900,2005,64.87151392716133,-4.405460420953266e-05
2005-09-27,65.06999969482422,1,900,2005,65.26326179576441,0.0002771664218857474
2005-09-28,66.34999847412111,2,900,2005,66.17829068808976,0.0003306594043283325
2005-09-29,66.79000091552734,3,900,2005,66.86263693642901,7.366971441195405e-05
2005-09-30,66.23999786376953,4,900,2005,66.64192140458124,-0.00025062145151448723
2005-10-03,65.47000122070311,0,1000,2005,65.41426358291851,-0.00034383476756630696
2005-10-04,63.9000015258789,1,1000,2005,63.714055394547096,-0.00010913419770758048
2005-10-05,62.790000915527344,2,1000,2005,62.31895561573079,0.0002435629886285048
2005-10-06,61.36000061035156,3,1000,2005,61.72732566834812,0.0003712653790668099
2005-10-07,61.84000015258789,4,1000,2005,61.90545214131159,0.00014415888329335846
2005-10-10,61.79999923706055,0,1000,2005,62.45000400247674,-0.00021667435674310913
2005-10-11,63.52999877929688,1,1000,2005,62.96453281270622,-0.0003677556249605179
2005-10-12,64.12000274658203,2,1000,2005,63.307751527386834,-0.00017094541640614767
2005-10-13,63.08000183105469,3,1000,2005,63.538116288310995,0.00018529852917063898
2005-10-14,62.63000106811523,4,1000,2005,63.68073010046718,0.00036439246118447657
2005-10-17,64.36000061035156,0,1000,2005,63.595892604327695,0.000198624901854634
2005-10-18,63.20000076293945,1,1000,2005,63.10042850574621,-0.00015720278650892188
2005-10-19,62.40999984741211,2,1000,2005,62.2176023504669,-0.00037070646737538313
2005-10-20,61.02999877929688,3,1000,2005,61.28013201863218,-0.00023397656936343934
2005-10-21,60.63000106811523,4,1000,2005,60.73527165170905,0.0001314654184129108
2005-10-24,60.31999969482422,0,1000,2005,60.78976422233546,0.00037400664704374245
2005-10-25,62.43999862670898,1,1000,2005,61.211637225169845,0.0002602020623661788
2005-10-26,60.65999984741211,2,1000,2005,61.493621240938246,-9.731737366117054e-05
2005-10-27,61.09000015258789,3,1000,2005,61.266256101285094,-0.00036270190022182097
2005-10-28,61.22000122070313,4,1000,2005,60.61198310429078,-0.0002868506195338112
2005-10-31,59.7599983215332,0,1000,2005,59.99863213210152,6.559031846608884e-05
2005-11-01,59.849998474121094,1,1100,2005,59.8758692723251,0.000359502151137631
2005-11-02,59.75,2,1100,2005,60.27769187636028,0.00031029338322739486
2005-11-03,61.77999877929688,3,1100,2005,60.77713864094259,-3.0506847187056272e-05
2005-11-04,60.58000183105469,4,1100,2005,60.83563410325761,-0.0003395018186709395
2005-11-07,59.47000122070313,0,1100,2005,60.24475112700052,-0.0003297911895196892
2005-11-08,59.709999084472656,1,1100,2005,59.27911003605045,-4.08635218878729e-06
2005-11-09,58.93000030517578,2,1100,2005,58.43735244216886,0.0003356315826417244
2005-11-10,57.79999923706055,3,1100,2005,58.01333438402855,0.0003597506025905942
2005-11-11,57.52999877929688,4,1100,2005,57.88390443897516,4.0367198196270066e-05
2005-11-14,57.68999862670898,0,1100,2005,57.69368188664925,-0.0003191482776623866
2005-11-15,56.97999954223633,1,1100,2005,57.2496415189217,-0.0003790768782472258
2005-11-16,57.88000106811523,2,1100,2005,56.745056857597596,-7.774954356282686e-05
2005-11-17,56.33000183105469,3,1100,2005,56.59195324677678,0.00030148930542651015
