,0
1549,43.11
1550,43.03
1551,43.26
1552,43.14
1553,43.15
1554,43.33
1555,43.22
1556,43.12
1557,43.09
1558,43.1
1559,42.95
1560,42.9
1561,42.85
1562,42.89
1563,42.83
1564,42.93
1565,42.64
1566,42.75
1567,42.74
1568,43.0
1569,42.78
1570,42.76
1571,42.85
1572,42.95
1573,42.88
1574,42.8
1575,42.88
1576,42.19
1577,44.54
1578,44.63
1579,44.2
1580,44.5
1581,44.36
1582,44.05
1583,44.44
1584,44.39
1585,44.17
1586,44.02
1587,44.15
1588,44.38
1589,43.99
1590,43.99
1591,44.34
1592,44.38
1593,44.17
1594,44.19
1595,44.11
1596,44.35
1597,44.26
1598,43.9
1599,43.95
1600,43.7
1601,44.0
1602,43.92
1603,43.89
1604,43.9
1605,44.04
1606,44.04
1607,43.74
1608,43.9
1609,44.09
1610,44.42
1611,44.23
1612,44.24
1613,44.31
1614,44.23
1615,44.21
1616,44.08
1617,44.19
1618,43.87
1619,43.89
1620,43.91
1621,44.08
1622,43.9
1623,44.28
1624,44.33
1625,44.45
1626,44.64
1627,44.53
1628,44.48
1629,44.48
1630,44.4
1631,44.45
1632,44.14
1633,44.24
1634,44.27
1635,44.41
1636,44.33
1637,44.48
1638,44.64
1639,44.84
1640,44.68
1641,44.73
1642,44.67
1643,44.39
1644,44.49
1645,44.43
1646,44.33
1647,44.43
1648,44.29
1649,44.29
1650,44.24
1651,44.02
1652,44.03
1653,44.12
1654,44.26
1655,44.33
1656,44.3
1657,43.99
1658,44.16
1659,44.07
1660,43.99
1661,44.0
1662,44.0
1663,43.99
1664,44.09
1665,43.96
1666,44.15
1667,44.21
1668,44.01
1669,44.03
1670,44.02
1671,43.85
1672,43.49
1673,43.49
1674,43.54
1675,43.41
1676,43.35
1677,43.48
1678,43.45
1679,43.58
1680,43.7
1681,43.86
1682,43.76
1683,43.7
1684,43.62
1685,43.97
1686,43.52
1687,43.47
1688,43.49
1689,43.51
1690,43.68
1691,43.58
1692,43.51
1693,43.16
1694,43.23
1695,43.02
1696,42.93
1697,43.01
1698,43.02
1699,42.72
1700,43.04
1701,42.86
1702,42.86
1703,42.03
1704,41.0
1705,41.49
1706,41.51
1707,40.98
1708,40.76
1709,40.46
1710,40.75
1711,40.57
1712,39.85
1713,40.0
1714,39.99
1715,39.99
1716,40.03
1717,40.24
1718,39.73
1719,39.76
1720,39.62
1721,40.15
1722,40.48
1723,40.24
1724,40.59
1725,40.75
1726,40.8
1727,40.5
1728,40.01
1729,40.71
1730,40.72
1731,40.77
1732,40.67
1733,40.42
1734,40.47
1735,40.24
1736,40.69
1737,40.67
1738,40.54
1739,40.5
1740,41.11
1741,41.18
1742,41.16
1743,41.05
1744,40.99
1745,41.03
1746,40.95
1747,40.75
1748,40.43
1749,40.4
1750,40.4
1751,40.4
1752,40.42
1753,40.28
1754,40.23
1755,39.74
1756,40.02
1757,39.99
1758,40.05
1759,40.03
1760,40.26
1761,40.23
1762,40.46
1763,40.34
1764,40.25
1765,40.28
1766,39.98
1767,40.11
1768,39.74
1769,40.2
1770,40.2
1771,39.43
1772,39.4
1773,39.75
1774,39.41
1775,39.65
1776,39.48
1777,39.37
1778,39.27
1779,39.23
1780,39.26
1781,38.99
1782,39.29
1783,39.15
1784,39.07
1785,39.23
1786,39.36
1787,39.52
1788,39.67
1789,39.28
1790,39.15
1791,39.47
1792,39.26
1793,38.99
1794,38.73
1795,38.78
1796,38.74
1797,38.57
1798,38.63
1799,38.7
1800,38.59
1801,38.47
1802,38.7
1803,38.58
1804,38.67
1805,38.51
1806,38.54
1807,38.6
1808,38.6
1809,38.29
1810,38.58
1811,38.49
1812,38.51
1813,38.51
1814,38.76
1815,38.67
1816,38.59
1817,38.64
1818,38.9
1819,38.64
1820,38.34
1821,38.43
1822,38.61
1823,38.61
1824,38.47
1825,38.47
1826,38.55
1827,38.65
1828,38.67
1829,38.57
1830,38.37
1831,38.19
1832,38.33
1833,38.19
1834,38.28
1835,38.69
1836,38.81
1837,39.26
1838,39.3
1839,39.04
1840,39.04
1841,38.87
1842,38.9
1843,40.26
1844,40.15
1845,40.69
1846,40.75
1847,40.93
1848,40.92
1849,41.19
1850,41.18
1851,41.21
1852,41.19
1853,41.09
1854,41.07
1855,41.12
1856,40.71
1857,41.61
1858,41.6
1859,41.68
1860,41.78
1861,41.68
1862,41.57
1863,41.81
1864,41.74
1865,41.27
1866,41.98
1867,41.8
1868,41.77
1869,41.71
1870,41.91
1871,41.61
1872,41.9
1873,42.07
1874,42.07
1875,42.08
1876,41.97
1877,42.18
1878,42.11
1879,41.75
1880,41.79
1881,41.72
1882,41.74
1883,41.74
1884,41.73
1885,41.31
1886,41.33
1887,41.38
1888,41.4
1889,41.44
1890,41.44
1891,41.47
1892,41.43
1893,41.42
1894,41.27
1895,41.5
1896,41.67
1897,40.79
1898,40.9
1899,40.54
1900,41.48
1901,41.67
1902,42.31
1903,41.78
1904,41.69
1905,41.68
1906,41.32
1907,41.2
1908,41.2
1909,41.61
1910,41.23
1911,41.55
1912,41.39
1913,41.29
1914,41.33
1915,41.28
1916,41.61
1917,41.66
1918,41.86
1919,42.19
1920,41.39
1921,41.48
1922,41.66
1923,41.43
1924,41.59
1925,41.51
1926,41.51
1927,41.85
1928,42.12
1929,42.07
1930,42.22
1931,42.34
1932,42.11
1933,41.76
1934,41.59
1935,41.35
1936,41.45
1937,41.61
1938,41.72
1939,41.61
1940,41.34
1941,41.6
1942,41.62
1943,41.67
1944,41.81
1945,41.47
1946,41.37
1947,41.47
1948,41.0
1949,41.14
1950,41.16
1951,41.14
1952,40.99
1953,41.51
1954,41.53
1955,41.39
1956,41.43
1957,41.25
1958,41.32
1959,41.64
1960,41.63
1961,41.29
1962,41.31
1963,41.34
1964,41.32
1965,41.49
1966,41.49
1967,41.32
1968,41.73
1969,41.94
1970,41.91
1971,41.74
1972,41.61
1973,41.67
1974,41.61
1975,41.01
1976,41.3
1977,41.31
1978,41.41
1979,41.47
1980,41.59
1981,41.61
1982,41.91
1983,41.98
1984,41.95
1985,41.98
1986,41.94
