Current,Forcast,Real,Dates
[74.62999725341797],[69.728485],[75.12000274658203],2023-01-09
[75.12000274658203],[70.21768],[77.41000366210938],2023-01-10
[77.41000366210938],[71.85948],[78.38999938964844],2023-01-11
[78.38999938964844],[72.5128],[79.86000061035156],2023-01-12
[79.86000061035156],[73.45022],[78.8499984741211],2023-01-13
[78.8499984741211],[73.71352],[80.18000030517578],2023-01-16
[80.18000030517578],[73.79212],[79.4800033569336],2023-01-17
[79.4800033569336],[74.1686],[80.33000183105469],2023-01-18
[80.33000183105469],[74.73871],[81.30999755859375],2023-01-19
[81.30999755859375],[75.3727],[81.62000274658203],2023-01-20
[81.62000274658203],[75.878456],[80.12999725341797],2023-01-23
[80.12999725341797],[74.94809],[80.1500015258789],2023-01-24
[80.1500015258789],[74.91368],[81.01000213623047],2023-01-25
[81.01000213623047],[75.6117],[79.68000030517578],2023-01-26
[79.68000030517578],[74.63599],[77.9000015258789],2023-01-27
[77.9000015258789],[73.37446],[78.87000274658203],2023-01-30
[78.87000274658203],[73.508514],[76.41000366210938],2023-01-31
[78.87000274658203],[72.66617],[76.41000366210938],2023-02-01
